Using device: cuda
Scrambled cube:    DRR
   UUD
   LDB
BFFUFLULFDUL
ULDRFRBRFLBB
FDDRLFUFBRUL
   BBR
   BDR
   DLU

Scrambled cube: D U' D D' R D' F' D' R' L' F B' U R D B' U B' 
Solving...
Generation 1: Best Fitness = -10.652382850646973, Best Solution = U R D' R' R' B' R' B R' U' L' L' U L U D' L' R' F R U' L D' R 
Generation 2: Best Fitness = -10.652382850646973, Best Solution = U R D' R' R' B' R' B R' U' L' L' U L U D' L' R' F R U' L D' R , Temperature = 95.0
Generation 2: Best Fitness = -11.341639518737793, Best Solution = U' L B' U L R F F R B' U B' L D L' B U' B L' R F' B' L' D F B 
Generation 3: Best Fitness = -11.341639518737793, Best Solution = U' L B' U L R F F R B' U B' L D L' B U' B L' R F' B' L' D F B , Temperature = 90.25
Generation 3: Best Fitness = -9.924123764038086, Best Solution = B' U' R L B' F' D' B F' U' D' U L' L' D' L' R' F D' 
Generation 4: Best Fitness = -9.924123764038086, Best Solution = B' U' R L B' F' D' B F' U' D' U L' L' D' L' R' F D' , Temperature = 85.7375
Generation 1: Best Fitness = -11.00852108001709, Best Solution = U' D L B U' F' L D' L' D' B F' R' L' D' B B U B F U U , Temperature = 95.0
Generation 2: Best Fitness = -11.530261993408203, Best Solution = B R L L F' D B' U R R F' U' R B' , Temperature = 90.25
Generation 3: Best Fitness = -10.187646865844727, Best Solution = L B' R R U F U U D B' L F F L U' R R U B L' B' R' U D F D F , Temperature = 85.7375
Generation 4: Best Fitness = -11.164671897888184, Best Solution = R U R' U B' L F' B R B U' D B' R' D U' D' , Temperature = 81.45062499999999
Generation 5: Best Fitness = -11.167380332946777, Best Solution = B R' B' D B' D U' L R' L U D R D' L D' R' B' L D B' R' F' L' F' D L , Temperature = 77.37809374999999
Generation 6: Best Fitness = -10.146147727966309, Best Solution = L B' F B' L' U' D U D' F' D D R' D' L U D' B F U , Temperature = 73.50918906249998
Generation 7: Best Fitness = -10.841082572937012, Best Solution = F U' L U' B' L' B' B' F' B' D' B' L R F R L F R' F L' D F F B' L U' R L , Temperature = 69.83372960937498
Generation 8: Best Fitness = -11.273553848266602, Best Solution = B R L F L D R B F' D U' , Temperature = 66.34204312890623
Generation 9: Best Fitness = -11.132685661315918, Best Solution = R' B R' L' R F' R F' U' R F B' F' L D R' L F D , Temperature = 63.02494097246091
Generation 10: Best Fitness = -11.197774887084961, Best Solution = D' R D' L L U B U L' R F' R' , Temperature = 59.87369392383786
Generation 11: Best Fitness = -11.439506530761719, Best Solution = F L' U' F' R U L' D' F R' B U' B B F L' D L , Temperature = 56.880009227645964
Generation 12: Best Fitness = -10.860200881958008, Best Solution = U' R' B R R U L' F D' B' , Temperature = 54.03600876626366
Generation 13: Best Fitness = -10.678500175476074, Best Solution = B' F' B' L' F D' R' D' B' L R' , Temperature = 51.33420832795048
Generation 14: Best Fitness = -11.491446495056152, Best Solution = L' R D' B' R' B' F U B' L' D' R' L B' U F' , Temperature = 48.76749791155295
Generation 15: Best Fitness = -10.280729293823242, Best Solution = F R' F' F' U' D R' L U' B' R , Temperature = 46.3291230159753
Generation 16: Best Fitness = -10.962352752685547, Best Solution = F' L' D' B D U L F , Temperature = 44.012666865176534
Generation 17: Best Fitness = -10.810525894165039, Best Solution = L' U' L U' L' L' R , Temperature = 41.812033521917705
Generation 18: Best Fitness = -10.951040267944336, Best Solution = U' D F' L' R L U' D' B D B' L B R B' D' D' , Temperature = 39.72143184582182
Generation 19: Best Fitness = -9.580147743225098, Best Solution = B U U D U D' B , Temperature = 37.73536025353073
Generation 20: Best Fitness = -10.808670997619629, Best Solution = L L D' F D' B' F' D' B D' R L' D' U F' U U B D B , Temperature = 35.84859224085419
Generation 21: Best Fitness = -10.609837532043457, Best Solution = B U' L B' U' B' L R' U' , Temperature = 34.05616262881148
Generation 22: Best Fitness = -10.179413795471191, Best Solution = R U F B' U' B' L B D' L U' D' F' U F' F' D R U L' U , Temperature = 32.3533544973709
Generation 23: Best Fitness = -10.932053565979004, Best Solution = B F' D' D' B D R' U' , Temperature = 30.735686772502355
Generation 24: Best Fitness = -10.024003982543945, Best Solution = L F B B L' U R U D' F' B' , Temperature = 29.198902433877237
Generation 25: Best Fitness = -10.649616241455078, Best Solution = R' L' F B F' B D L D B' F' U D' B L' U , Temperature = 27.738957312183373
Generation 26: Best Fitness = -10.587763786315918, Best Solution = B U' , Temperature = 26.352009446574204
Generation 27: Best Fitness = -10.304651260375977, Best Solution = B U' B D , Temperature = 25.034408974245494
Generation 28: Best Fitness = -11.109341621398926, Best Solution = R L B' R F B' B' F' R' D' R' D L L U' R D L' D' L D L F' , Temperature = 23.782688525533217
Generation 29: Best Fitness = -10.613265037536621, Best Solution = L' D U' L R R L' U' B , Temperature = 22.593554099256554
Generation 30: Best Fitness = -11.102132797241211, Best Solution = B L U' R B' , Temperature = 21.463876394293724
Generation 31: Best Fitness = -10.257155418395996, Best Solution = B L U' L' , Temperature = 20.390682574579035
Generation 32: Best Fitness = -10.356689453125, Best Solution = F R' F' F' , Temperature = 19.371148445850082
Generation 33: Best Fitness = -10.43761920928955, Best Solution = B U' B L' , Temperature = 18.402591023557576
Generation 34: Best Fitness = -10.330391883850098, Best Solution = R L' D D U L U' R D R' , Temperature = 17.482461472379697
Generation 35: Best Fitness = -10.02408504486084, Best Solution = B U' L' R D F' , Temperature = 16.60833839876071
Generation 36: Best Fitness = -10.705591201782227, Best Solution = B L' R' D U' R U' L' D D U D F F U' B L D F' D' U' R' U B , Temperature = 15.777921478822675
Generation 37: Best Fitness = -9.994522094726562, Best Solution = B U' F , Temperature = 14.98902540488154
Generation 38: Best Fitness = -10.587763786315918, Best Solution = B U' , Temperature = 14.239574134637461
Generation 39: Best Fitness = -10.587763786315918, Best Solution = B U' , Temperature = 13.527595427905588
Generation 40: Best Fitness = -10.911653518676758, Best Solution = D R F' R D U' R' D B' , Temperature = 12.851215656510307
Generation 41: Best Fitness = -10.786699295043945, Best Solution = U' R' U' B L , Temperature = 12.208654873684791
Generation 42: Best Fitness = -10.533644676208496, Best Solution = U' R' B' R' , Temperature = 11.59822213000055
Generation 43: Best Fitness = -10.587763786315918, Best Solution = B U' , Temperature = 11.018311023500523
Generation 44: Best Fitness = -10.485544204711914, Best Solution = F R' F R , Temperature = 10.467395472325496
Generation 45: Best Fitness = -10.163283348083496, Best Solution = B U' B' F B' B' U R D B' R' , Temperature = 9.94402569870922
Generation 46: Best Fitness = -10.477765083312988, Best Solution = L' L' B U' , Temperature = 9.44682441377376
Generation 47: Best Fitness = -9.932722091674805, Best Solution = B L U' B D' , Temperature = 8.97448319308507
Generation 48: Best Fitness = -10.587763786315918, Best Solution = B U' , Temperature = 8.525759033430816
Generation 49: Best Fitness = -10.587763786315918, Best Solution = B U' , Temperature = 8.099471081759274
Generation 50: Best Fitness = -10.587763786315918, Best Solution = B U' , Temperature = 7.69449752767131
Generation 51: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 7.309772651287744
Generation 52: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 6.944284018723357
Generation 53: Best Fitness = -10.357853889465332, Best Solution = B U' F B , Temperature = 6.5970698177871885
Generation 54: Best Fitness = -10.094654083251953, Best Solution = D' D' R F' B U R R U' U' , Temperature = 6.267216326897829
Generation 55: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 5.953855510552938
Generation 56: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 5.6561627350252905
Generation 57: Best Fitness = -10.534828186035156, Best Solution = F R' F' , Temperature = 5.373354598274026
Generation 58: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 5.104686868360324
Generation 59: Best Fitness = -10.324056625366211, Best Solution = L D' U' B L' R , Temperature = 4.849452524942308
Generation 60: Best Fitness = -10.215492248535156, Best Solution = B U' B' F D L F F , Temperature = 4.606979898695192
Generation 61: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 4.376630903760432
Generation 62: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 4.157799358572411
Generation 63: Best Fitness = -10.357853889465332, Best Solution = B U' F B , Temperature = 3.94990939064379
Generation 64: Best Fitness = -10.407679557800293, Best Solution = U F' U R' U D' L' B , Temperature = 3.7524139211116005
